ENSG00000013503	"Hsap38.chr12.106472371.106475922.-"
ENSG00000163625	"Hsap38.chr4.84759780.84760667.-"
ENSG00000235257	"Hsap38.chr3.37842114.37842932.+"
ENSG00000259104	"Hsap38.chr14.36144288.36145652.-"
ENSG00000128585	"Hsap38.chr7.131319325.131319702.+"
ENSG00000241278	"Hsap38.chr3.125891942.125892682.+"
ENSG00000136842	"Hsap38.chr9.97582098.97584218.-"
ENSG00000104823	"Hsap38.chr19.38826195.38827232.+"
ENSG00000005059	"Hsap38.chr4.109583347.109584135.-"
ENSG00000196353	"Hsap38.chr3.132138837.132141107.+"
ENSG00000174780	"Hsap38.chr4.56498120.56498500.+"
ENSG00000187416	"Hsap38.chr7.104391685.104392845.-"
ENSG00000260983	"Hsap38.chr16.76251092.76251607.-"
ENSG00000176204	"Hsap38.chr2.76775978.76779817.-"
ENSG00000176927	"Hsap38.chr17.30022758.30024362.+"
ENSG00000067066	"Hsap38.chr2.230529346.230530104.+"
ENSG00000174945	"Hsap38.chr7.2747459.2747824.+"
ENSG00000285473	"Hsap38.chr1.68998203.68998853.+"
ENSG00000171877	"Hsap38.chr15.43961756.43963753.+"
ENSG00000183831	"Hsap38.chr1.173621163.173622218.+"
ENSG00000197442	"Hsap38.chr6.136686241.136687059.+"
ENSG00000166848	"Hsap38.chr16.75736083.75737327.-"
ENSG00000162753	"Hsap38.chr1.173542884.173543138.+"
ENSG00000028116	"Hsap38.chr2.58114268.58114690.-"
ENSG00000115602	"Hsap38.chr2.102326767.102328623.+"
ENSG00000232347	"Hsap38.chr1.247239128.247240051.+"
ENSG00000225300	"Hsap38.chr1.246606054.246606536.-"
ENSG00000162852	"Hsap38.chr1.246637980.246639326.-"
ENSG00000143776	"Hsap38.chr1.227208262.227210277.-"
ENSG00000143653	"Hsap38.chr1.246750433.246751179.-"
ENSG00000229563	"Hsap38.chrX.45607337.45608026.-"
ENSG00000075945	"Hsap38.chr1.170052613.170053107.+"
ENSG00000152270	"Hsap38.chr11.14717869.14721219.+"
ENSG00000145087	"Hsap38.chr3.121092121.121093590.-"
ENSG00000138801	"Hsap38.chr4.107675972.107676814.+"
ENSG00000203279	"Hsap38.chr9.97209121.97210989.+"
ENSG00000203963	"Hsap38.chr1.67177887.67178756.-"
ENSG00000159712	"Hsap38.chr9.97209121.97210989.+"
ENSG00000197157	"Hsap38.chr7.127964986.127966260.-"
ENSG00000233985	"Hsap38.chr1.170235137.170235880.+"
ENSG00000162594	"Hsap38.chr1.67177887.67178756.-"
ENSG00000224286	"Hsap38.chr1.170281204.170282235.+"
ENSG00000231407	"Hsap38.chr1.170467538.170468302.+"
ENSG00000115652	"Hsap38.chr2.106133930.106136704.+"
ENSG00000235303	"Hsap38.chr1.170610212.170610478.-"
ENSG00000112992	"Hsap38.chr5.43668495.43669571.-"
ENSG00000135747	"Hsap38.chr1.247026015.247026932.+"
ENSG00000150093	"Hsap38.chr10.32916051.32916377.+"
ENSG00000163633	"Hsap38.chr4.86884997.86886091.-"
ENSG00000117501	"Hsap38.chr1.171020267.171020989.+"
ENSG00000221953	"Hsap38.chr1.247109145.247110281.+"
ENSG00000183826	"Hsap38.chr6.38300284.38301609.-"
ENSG00000253561	"Hsap38.chr8.133780029.133780442.-"
ENSG00000007933	"Hsap38.chr1.171098644.171099336.-"
ENSG00000239589	"Hsap38.chr3.95061153.95063669.-"
ENSG00000151131	"Hsap38.chr12.105009356.105009856.-"
ENSG00000136052	"Hsap38.chr12.104879872.104880921.-"
ENSG00000273291	"Hsap38.chr3.42861482.42861835.+"
ENSG00000152078	"Hsap38.chr1.95159685.95160677.-"
ENSG00000115425	"Hsap38.chr2.216071423.216071755.-"
ENSG00000260937	"Hsap38.chr15.55067638.55068207.+"
ENSG00000218336	"Hsap38.chr4.182779830.182783111.-"
ENSG00000250131	"Hsap38.chr4.177501184.177501657.-"
ENSG00000283052	"Hsap38.chr12.102309541.102310086.-"
ENSG00000183570	"Hsap38.chr21.45807063.45807413.+"
ENSG00000067141	"Hsap38.chr15.73218085.73218840.-"
ENSG00000006459	"Hsap38.chr7.140105070.140105426.-"
ENSG00000198515	"Hsap38.chr4.47992685.47993020.-"
ENSG00000169760	"Hsap38.chr3.173490168.173491406.-"
ENSG00000163293	"Hsap38.chr4.47919119.47919640.-"
ENSG00000248210	"Hsap38.chr4.149179402.149179929.+"
ENSG00000274023	"Hsap38.chr6.158298350.158298892.-"
ENSG00000234232	"Hsap38.chr1.149681169.149681633.-"
ENSG00000255282	"Hsap38.chr11.102815785.102816513.-"
ENSG00000135218	"Hsap38.chr7.80559918.80560304.-"
ENSG00000249816	"Hsap38.chr8.124875999.124876880.+"
ENSG00000241098	"Hsap38.chr3.182457598.182458086.-"
ENSG00000117069	"Hsap38.chr1.76999873.77001795.-"
ENSG00000182923	"Hsap38.chr3.134555004.134556377.+"
ENSG00000070269	"Hsap38.chr14.56643166.56643885.+"
ENSG00000235726	"Hsap38.chr2.234890629.234892989.+"
ENSG00000213366	"Hsap38.chr1.109705705.109706709.+"
ENSG00000236911	"Hsap38.chr1.207592002.207592709.+"
ENSG00000273259	"Hsap38.chr14.94607369.94608538.+"
ENSG00000272419	"Hsap38.chr1.145186572.145186913.+"
ENSG00000248744	"Hsap38.chr4.45045744.45046742.+"
ENSG00000122779	"Hsap38.chr7.138531831.138533414.-"
ENSG00000233891	"Hsap38.chr2.59556203.59558944.+"
ENSG00000109255	"Hsap38.chr4.55621114.55624173.+"
ENSG00000197465	"Hsap38.chr4.143894568.143894978.+"
ENSG00000254229	"Hsap38.chr8.8029829.8030272.-"
ENSG00000233080	"Hsap38.chr22.35169423.35170172.+"
ENSG00000284084	"Hsap38.chr2.200720417.200720713.+"
ENSG00000259610	"Hsap38.chr15.81637309.81637644.-"
ENSG00000249259	"Hsap38.chr4.116252730.116254124.-"
ENSG00000117643	"Hsap38.chr1.25631221.25631769.-"
ENSG00000234273	"Hsap38.chr7.109593950.109594744.-"
ENSG00000124406	"Hsap38.chr4.42528300.42528722.+"
ENSG00000242193	"Hsap38.chr1.178014606.178015004.-"
ENSG00000197568	"Hsap38.chr1.70370084.70371121.+"
ENSG00000133063	"Hsap38.chr1.203261125.203262330.+"
ENSG00000115170	"Hsap38.chr2.157754631.157755302.+"
ENSG00000251292	"Hsap38.chr4.23724474.23724854.-"
ENSG00000227373	"Hsap38.chr1.174127403.174127789.-"
ENSG00000227359	"Hsap38.chr2.113682107.113683225.+"
ENSG00000163833	"Hsap38.chr3.121609407.121609820.-"
ENSG00000180881	"Hsap38.chr12.75374598.75374846.-"
ENSG00000157680	"Hsap38.chr7.137426507.137428936.+"
ENSG00000166734	"Hsap38.chr15.44361292.44362395.+"
ENSG00000089737	"Hsap38.chr14.94069323.94070036.+"
ENSG00000123636	"Hsap38.chr2.159472431.159473204.-"
ENSG00000139287	"Hsap38.chr12.72151227.72152621.-"
ENSG00000270604	"Hsap38.chr6.30250877.30251599.+"
ENSG00000170153	"Hsap38.chr4.140918473.140920428.+"
ENSG00000264015	"Hsap38.chr18.77533297.77534358.-"
ENSG00000250781	"Hsap38.chr4.42289212.42290009.-"
ENSG00000267606	"Hsap38.chr19.56359916.56360269.+"
ENSG00000131848	"Hsap38.chr19.56359916.56360269.+"
ENSG00000254339	"Hsap38.chr8.114284887.114285267.+"
ENSG00000226983	"Hsap38.chr21.24916453.24917007.-"
ENSG00000230379	"Hsap38.chr21.24991834.24992172.+"
ENSG00000104447	"Hsap38.chr8.115756724.115757545.+"
ENSG00000112357	"Hsap38.chr6.136847161.136848408.-"
ENSG00000113924	"Hsap38.chr3.120629503.120629853.+"
ENSG00000124721	"Hsap38.chr6.38757965.38758984.-"
ENSG00000081923	"Hsap38.chr18.57721192.57723951.+"
ENSG00000255769	"Hsap38.chr15.82492706.82493254.+"
ENSG00000250312	"Hsap38.chr4.195158.195454.-"
ENSG00000051341	"Hsap38.chr3.121455904.121456767.+"
ENSG00000206559	"Hsap38.chr3.28417162.28418856.+"
ENSG00000267787	"Hsap38.chr18.57721192.57723951.+"
ENSG00000222042	"Hsap38.chr21.25268912.25269355.+"
ENSG00000281167	"Hsap38.chr13.74539081.74541555.+"
ENSG00000226240	"Hsap38.chr13.74428407.74430152.+"
ENSG00000248779	"Hsap38.chr5.44758553.44759437.+"
ENSG00000251141	"Hsap38.chr5.44758553.44759437.+"
ENSG00000251141	"Hsap38.chr5.44790683.44791567.+"
ENSG00000173610	"Hsap38.chr4.69606229.69606651.+"
ENSG00000146072	"Hsap38.chr6.47272781.47273800.+"
ENSG00000230615	"Hsap38.chr1.44055187.44055849.+"
ENSG00000197265	"Hsap38.chr8.30624942.30625211.-"
ENSG00000148308	"Hsap38.chr9.133032850.133033383.-"
ENSG00000048649	"Hsap38.chr11.77796492.77797157.+"
ENSG00000271271	"Hsap38.chr4.69606229.69606651.+"
ENSG00000143858	"Hsap38.chr1.202610303.202611241.+"
ENSG00000242366	"Hsap38.chr2.233632583.233632897.-"
ENSG00000150477	"Hsap38.chr18.37075737.37077305.+"
ENSG00000188517	"Hsap38.chr4.109269693.109270535.+"
ENSG00000146373	"Hsap38.chr6.125034622.125035365.-"
ENSG00000123612	"Hsap38.chr2.157569330.157572158.+"
ENSG00000077157	"Hsap38.chr1.202452995.202453348.-"
ENSG00000134775	"Hsap38.chr18.36552735.36553445.-"
ENSG00000226906	"Hsap38.chrY.22941144.22941617.+"
ENSG00000152527	"Hsap38.chr2.43661629.43664541.-"
ENSG00000113327	"Hsap38.chr5.162031147.162033420.-"
ENSG00000248747	"Hsap38.chr4.141272352.141272729.+"
ENSG00000183431	"Hsap38.chr1.37971612.37972235.+"
ENSG00000258123	"Hsap38.chr12.73194058.73195797.-"
ENSG00000257743	"Hsap38.chr7.142214171.142214746.+"
ENSG00000132549	"Hsap38.chr8.99692716.99695490.+"
ENSG00000257183	"Hsap38.chr12.74269490.74270116.+"
ENSG00000258320	"Hsap38.chr12.74171471.74171770.+"
ENSG00000251138	"Hsap38.chr12.74353097.74353882.-"
ENSG00000164136	"Hsap38.chr4.141697792.141698439.-"
ENSG00000257319	"Hsap38.chr12.45084683.45086473.-"
ENSG00000152061	"Hsap38.chr1.174378006.174381854.-"
ENSG00000152061	"Hsap38.chr1.174590571.174594419.-"
ENSG00000198155	"Hsap38.chr4.243460.244062.+"
ENSG00000152558	"Hsap38.chr11.102442301.102443350.+"
ENSG00000175868	"Hsap38.chr11.15066205.15066828.-"
ENSG00000131127	"Hsap38.chr4.363538.364599.-"
ENSG00000255482	"Hsap38.chr11.102481037.102481309.+"
ENSG00000185319	"Hsap38.chrX.52600553.52601560.-"
ENSG00000116117	"Hsap38.chr2.204991297.204994878.-"
ENSG00000281016	"Hsap38.chr4.402217.402861.-"
ENSG00000182903	"Hsap38.chr4.476630.476893.+"
ENSG00000168959	"Hsap38.chr11.88989871.88991067.+"
ENSG00000128805	"Hsap38.chr10.48641314.48641940.+"
ENSG00000177119	"Hsap38.chr12.45373976.45376036.+"
ENSG00000254959	"Hsap38.chr7.30808604.30808855.+"
ENSG00000214803	"Hsap38.chr8.124241494.124241745.-"
ENSG00000254459	"Hsap38.chr11.77858980.77859678.-"
ENSG00000226965	"Hsap38.chr7.110476220.110477212.+"
ENSG00000259429	"Hsap38.chr15.82374061.82374468.-"
ENSG00000164024	"Hsap38.chr4.99019883.99020560.-"
ENSG00000257335	"Hsap38.chr7.141920903.141924751.-"
ENSG00000184608	"Hsap38.chr8.11403312.11406125.-"
ENSG00000258497	"Hsap38.chr14.101268159.101272007.+"
ENSG00000123892	"Hsap38.chr11.88158580.88158954.+"
ENSG00000186439	"Hsap38.chr6.123474590.123477172.+"
ENSG00000163219	"Hsap38.chr2.68713479.68713877.-"
ENSG00000280870	"Hsap38.chrX.76720335.76722425.-"
ENSG00000205464	"Hsap38.chr5.82369470.82372001.-"
ENSG00000145012	"Hsap38.chr3.188637544.188639850.+"
ENSG00000175928	"Hsap38.chr3.3829525.3829881.-"
ENSG00000254597	"Hsap38.chr8.7769351.7769794.+"
ENSG00000237122	"Hsap38.chr8.7754056.7754499.+"
ENSG00000257735	"Hsap38.chr12.48404840.48405769.-"
ENSG00000227066	"Hsap38.chr1.20155000.20155911.+"
ENSG00000227722	"Hsap38.chr1.168350308.168352935.-"
ENSG00000230524	"Hsap38.chr3.15190411.15191547.+"
ENSG00000078124	"Hsap38.chr11.76967427.76969262.+"
ENSG00000132676	"Hsap38.chr1.155692343.155693125.-"
ENSG00000170381	"Hsap38.chr7.83620618.83621028.+"
ENSG00000144648	"Hsap38.chr3.42861482.42861835.+"
ENSG00000111596	"Hsap38.chr12.70300378.70301505.-"
ENSG00000231987	"Hsap38.chr1.96284995.96285522.-"
ENSG00000228971	"Hsap38.chr1.95738851.95739297.-"
ENSG00000237435	"Hsap38.chr1.95971150.95971554.-"
ENSG00000271092	"Hsap38.chr1.95159685.95160677.-"
ENSG00000240596	"Hsap38.chr3.156225338.156225928.+"
ENSG00000171509	"Hsap38.chr4.158432733.158434694.+"
ENSG00000156218	"Hsap38.chr15.83863991.83864992.+"
ENSG00000248995	"Hsap38.chr12.64962760.64963332.-"
ENSG00000120742	"Hsap38.chr3.150601474.150602007.+"
ENSG00000109738	"Hsap38.chr4.157158882.157159484.-"
ENSG00000249152	"Hsap38.chr4.92273904.92274332.-"
ENSG00000251526	"Hsap38.chr4.123512901.123513626.-"
ENSG00000229017	"Hsap38.chr6.142979357.142979875.-"
ENSG00000248505	"Hsap38.chr4.57456810.57457268.+"
ENSG00000240086	"Hsap38.chr3.135435834.135437324.+"
ENSG00000233607	"Hsap38.chr7.115169208.115171148.-"
ENSG00000278318	"Hsap38.chr19.44419243.44419587.+"
ENSG00000248601	"Hsap38.chr4.168026726.168027448.-"
ENSG00000010803	"Hsap38.chr1.41179460.41180506.+"
ENSG00000142892	"Hsap38.chr1.77108996.77109631.+"
ENSG00000131115	"Hsap38.chr19.44222290.44224140.-"
ENSG00000227290	"Hsap38.chr1.87366456.87367097.-"
ENSG00000140022	"Hsap38.chr14.81355702.81356331.-"
ENSG00000239381	"Hsap38.chr3.181587531.181588265.-"
ENSG00000169967	"Hsap38.chr2.127374164.127374991.+"
ENSG00000122417	"Hsap38.chr1.86390450.86391244.+"
ENSG00000272446	"Hsap38.chr6.139214249.139214752.+"
ENSG00000117335	"Hsap38.chr1.207771973.207772551.-"
ENSG00000257219	"Hsap38.chr12.76295926.76296348.+"
ENSG00000179766	"Hsap38.chr9.35456078.35456497.-"
ENSG00000134184	"Hsap38.chr1.109705705.109706709.+"
ENSG00000258979	"Hsap38.chr14.96765330.96767627.-"
ENSG00000231090	"Hsap38.chr1.55294653.55295249.+"
ENSG00000180769	"Hsap38.chr4.84990822.84992183.+"
ENSG00000248724	"Hsap38.chr3.132807310.132810018.-"
ENSG00000257259	"Hsap38.chr12.58705844.58706749.-"
ENSG00000271955	"Hsap38.chr2.59556203.59558944.+"
ENSG00000144668	"Hsap38.chr3.37613535.37615964.-"
ENSG00000140374	"Hsap38.chr15.76264513.76265055.+"
ENSG00000257585	"Hsap38.chr14.36120035.36121570.-"
ENSG00000235831	"Hsap38.chr3.4918498.4922346.+"
ENSG00000175894	"Hsap38.chr21.44561601.44561993.+"
ENSG00000103723	"Hsap38.chr15.82706284.82707111.+"
ENSG00000161640	"Hsap38.chr19.49954752.49955123.+"
ENSG00000269179	"Hsap38.chr19.49954752.49955123.+"
ENSG00000198964	"Hsap38.chr10.50352777.50353928.+"
ENSG00000237484	"Hsap38.chr21.24516934.24517230.+"
ENSG00000076321	"Hsap38.chr1.173729711.173730745.+"
ENSG00000137821	"Hsap38.chr15.70986284.70987894.-"
ENSG00000148219	"Hsap38.chr9.117067636.117070077.-"
ENSG00000157426	"Hsap38.chr4.56366266.56367096.+"
ENSG00000284640	"Hsap38.chr1.35143423.35143680.-"
ENSG00000198734	"Hsap38.chr1.169532145.169532579.+"
ENSG00000254044	"Hsap38.chr4.97562400.97563356.-"
ENSG00000164414	"Hsap38.chr6.87479337.87480017.-"
ENSG00000151025	"Hsap38.chr10.25249099.25251063.-"
ENSG00000272626	"Hsap38.chr4.68902600.68903040.-"
ENSG00000109927	"Hsap38.chr11.121174329.121175192.-"
ENSG00000272514	"Hsap38.chr6.87447153.87447533.-"
ENSG00000255558	"Hsap38.chr11.13129316.13130335.+"
ENSG00000139292	"Hsap38.chr12.71488625.71488978.-"
ENSG00000112499	"Hsap38.chr6.160210344.160211228.-"
ENSG00000188859	"Hsap38.chr1.166103449.166104378.+"
ENSG00000260975	"Hsap38.chr16.52216130.52216786.-"
ENSG00000085491	"Hsap38.chr1.108146224.108146715.-"
ENSG00000225325	"Hsap38.chr1.166424611.166425726.-"
ENSG00000173572	"Hsap38.chr19.55919111.55919413.+"
ENSG00000215834	"Hsap38.chr1.166606427.166606948.-"
ENSG00000183091	"Hsap38.chr2.151699083.151702739.-"
ENSG00000256948	"Hsap38.chr12.107227.107481.-"
ENSG00000104361	"Hsap38.chr8.98264068.98265279.+"
ENSG00000120645	"Hsap38.chr12.107227.107481.-"
ENSG00000164080	"Hsap38.chr3.51575632.51576255.-"
ENSG00000232148	"Hsap38.chr1.166780748.166781629.-"
ENSG00000152439	"Hsap38.chr19.57514466.57515389.+"
ENSG00000248710	"Hsap38.chr3.160323800.160325467.+"
ENSG00000246203	"Hsap38.chr1.155627591.155631967.-"
ENSG00000162627	"Hsap38.chr1.98729871.98730254.+"
ENSG00000226053	"Hsap38.chr1.98213384.98215024.-"
ENSG00000232542	"Hsap38.chr1.97407737.97408195.+"
ENSG00000150394	"Hsap38.chr16.61803608.61807264.+"
ENSG00000111647	"Hsap38.chr12.100044678.100045088.+"
ENSG00000251504	"Hsap38.chr4.177845416.177846933.-"
ENSG00000231171	"Hsap38.chr4.177845416.177846933.-"
ENSG00000166415	"Hsap38.chr15.53686159.53688801.+"
ENSG00000174607	"Hsap38.chr4.114670627.114670941.+"
ENSG00000145451	"Hsap38.chr4.174781827.174784046.+"
ENSG00000231252	"Hsap38.chr1.60780553.60781485.+"
ENSG00000122484	"Hsap38.chr1.92391599.92392405.+"
ENSG00000135119	"Hsap38.chr12.116756487.116756978.-"
ENSG00000198162	"Hsap38.chr1.117477255.117477728.+"
ENSG00000259925	"Hsap38.chr16.19397964.19398746.-"
ENSG00000169953	"Hsap38.chrY.18749282.18749812.+"
ENSG00000138468	"Hsap38.chr3.101470421.101471845.+"
ENSG00000229236	"Hsap38.chrY.20474521.20475402.-"
ENSG00000170860	"Hsap38.chr3.14190724.14191191.-"
ENSG00000112851	"Hsap38.chr5.66059376.66059849.-"
ENSG00000233393	"Hsap38.chr21.36106276.36106554.+"
ENSG00000173273	"Hsap38.chr8.9736332.9738317.-"
ENSG00000253880	"Hsap38.chr8.6087583.6088431.-"
ENSG00000242242	"Hsap38.chr3.111021753.111024527.+"
ENSG00000163491	"Hsap38.chr3.27260016.27260765.-"
ENSG00000080493	"Hsap38.chr4.71421612.71423540.+"
ENSG00000189295	"Hsap38.chr22.16664202.16664579.+"
ENSG00000204967	"Hsap38.chr5.140897949.140899613.-"
ENSG00000248049	"Hsap38.chr4.67969524.67971482.-"
ENSG00000259479	"Hsap38.chr15.44872272.44872937.-"
ENSG00000284727	"Hsap38.chr4.4073365.4073946.+"
ENSG00000231028	"Hsap38.chr6.135510863.135511669.-"
ENSG00000113303	"Hsap38.chr5.180903161.180904918.-"
ENSG00000106392	"Hsap38.chr7.7163296.7164030.+"
ENSG00000259768	"Hsap38.chr16.72693834.72694430.-"
ENSG00000163515	"Hsap38.chr3.108751356.108753953.+"
ENSG00000184178	"Hsap38.chr4.53330691.53333336.+"
ENSG00000236068	"Hsap38.chr5.64481013.64481915.+"
ENSG00000107745	"Hsap38.chr10.72439180.72439776.+"
ENSG00000250302	"Hsap38.chr4.52805856.52806146.+"
ENSG00000203727	"Hsap38.chr6.147631976.147632464.-"
ENSG00000140836	"Hsap38.chr16.73825485.73828469.-"
ENSG00000135052	"Hsap38.chr9.86087333.86087872.-"
ENSG00000266312	"Hsap38.chr18.76630667.76631062.-"
ENSG00000180628	"Hsap38.chr10.91181185.91181970.-"
ENSG00000189149	"Hsap38.chr16.21330828.21332225.-"
ENSG00000104324	"Hsap38.chr8.97040498.97041649.-"
ENSG00000105793	"Hsap38.chr7.90365851.90366270.-"
ENSG00000021461	"Hsap38.chr7.99833807.99834289.-"
ENSG00000171530	"Hsap38.chr5.77813203.77813694.+"
ENSG00000273299	"Hsap38.chr7.90450204.90450545.-"
ENSG00000229970	"Hsap38.chr7.8298934.8302170.-"
ENSG00000132932	"Hsap38.chr13.25640881.25641591.+"
ENSG00000256673	"Hsap38.chr12.9407329.9407619.+"
ENSG00000224209	"Hsap38.chr1.63240896.63242488.+"
ENSG00000224445	"Hsap38.chr1.99512524.99512904.+"
ENSG00000180432	"Hsap38.chr3.42861482.42861835.+"
ENSG00000173811	"Hsap38.chr3.42738721.42739080.-"
ENSG00000257815	"Hsap38.chr12.70015023.70018862.+"
ENSG00000240405	"Hsap38.chr3.70008426.70009403.-"
ENSG00000242120	"Hsap38.chr3.70286719.70287450.-"
ENSG00000174891	"Hsap38.chr3.158423860.158425785.-"
ENSG00000242908	"Hsap38.chr3.151806941.151808167.+"
ENSG00000249945	"Hsap38.chr4.175463864.175464208.-"
ENSG00000228624	"Hsap38.chr6.114434562.114435722.-"
ENSG00000109762	"Hsap38.chr4.185324801.185325235.-"
ENSG00000228826	"Hsap38.chr1.121500204.121500839.+"
ENSG00000224308	"Hsap38.chr1.152937112.152938956.-"
ENSG00000236744	"Hsap38.chr10.55268944.55269351.+"
ENSG00000250945	"Hsap38.chr4.127064786.127066633.-"
ENSG00000248491	"Hsap38.chr4.127262710.127263441.-"
ENSG00000231952	"Hsap38.chr7.32824952.32826013.+"
ENSG00000144331	"Hsap38.chr2.179753720.179754409.-"
ENSG00000285201	"Hsap38.chr1.84052598.84056446.-"
ENSG00000157445	"Hsap38.chr3.54394540.54398382.-"
ENSG00000171055	"Hsap38.chr2.36601590.36602345.+"
ENSG00000122420	"Hsap38.chr1.78313294.78314535.+"
ENSG00000140386	"Hsap38.chr15.76605002.76606405.-"
ENSG00000174844	"Hsap38.chr3.57480690.57482864.+"
ENSG00000257191	"Hsap38.chr12.79041592.79043694.-"
ENSG00000272369	"Hsap38.chr12.46620286.46621842.+"
ENSG00000181381	"Hsap38.chr4.168443985.168447428.+"
ENSG00000223387	"Hsap38.chr3.172571048.172571491.-"
ENSG00000206981	"Hsap38.chr1.31497190.31497696.-"
ENSG00000256661	"Hsap38.chr12.8792617.8793540.+"
ENSG00000273328	"Hsap38.chr3.42861482.42861835.+"
ENSG00000118855	"Hsap38.chr3.158817082.158817423.+"
ENSG00000280953	"Hsap38.chr10.128224794.128225648.-"
ENSG00000235770	"Hsap38.chr2.215823181.215823687.+"
ENSG00000250271	"Hsap38.chr3.151806941.151808167.+"
ENSG00000243176	"Hsap38.chr3.157193095.157194402.-"
ENSG00000281344	"Hsap38.chr12.102309541.102310086.-"
ENSG00000164113	"Hsap38.chr4.122388017.122388550.-"
ENSG00000150275	"Hsap38.chr10.55603840.55605975.+"
ENSG00000237413	"Hsap38.chr1.78243768.78245822.-"
ENSG00000053524	"Hsap38.chr3.183234918.183238157.-"
ENSG00000239921	"Hsap38.chr3.127514723.127515832.+"
ENSG00000260125	"Hsap38.chr15.86309118.86309654.-"
ENSG00000144306	"Hsap38.chr2.174406513.174407172.-"
ENSG00000159917	"Hsap38.chr19.44251670.44252017.+"
ENSG00000255772	"Hsap38.chr12.67953276.67953575.+"
ENSG00000249675	"Hsap38.chr4.166466987.166467418.+"
ENSG00000204979	"Hsap38.chr11.60534121.60537969.+"
ENSG00000151952	"Hsap38.chr12.129802646.129806050.+"
ENSG00000226711	"Hsap38.chr12.8193384.8193800.-"
ENSG00000239998	"Hsap38.chr19.54581820.54582767.-"
ENSG00000114030	"Hsap38.chr3.122447173.122447547.+"
ENSG00000278570	"Hsap38.chr15.71794856.71796532.-"
ENSG00000285106	"Hsap38.chr7.130798238.130798624.-"
ENSG00000248939	"Hsap38.chr4.43151967.43152707.+"
ENSG00000258637	"Hsap38.chr14.79770601.79772517.+"
ENSG00000175497	"Hsap38.chr2.115801646.115803487.-"
ENSG00000251088	"Hsap38.chr3.98248631.98249113.+"
ENSG00000236922	"Hsap38.chr4.117656139.117658541.-"
ENSG00000223479	"Hsap38.chr1.73687574.73688458.-"
ENSG00000110002	"Hsap38.chr11.124128834.124129085.-"
ENSG00000087884	"Hsap38.chr11.77858980.77859678.-"
ENSG00000153237	"Hsap38.chr2.158353172.158357023.+"
ENSG00000224218	"Hsap38.chr4.76790230.76790613.+"
ENSG00000164485	"Hsap38.chr6.137166269.137166817.+"
ENSG00000249806	"Hsap38.chr4.142627172.142627903.-"
ENSG00000285407	"Hsap38.chr1.68734929.68738177.-"
ENSG00000155511	"Hsap38.chr5.153727174.153727884.+"
ENSG00000206120	"Hsap38.chr3.168765459.168767366.-"
ENSG00000175697	"Hsap38.chr3.120252956.120253381.+"
ENSG00000075643	"Hsap38.chr18.36235687.36237357.-"
ENSG00000258404	"Hsap38.chr14.101698987.101699358.+"
ENSG00000197959	"Hsap38.chr1.172318202.172319131.+"
ENSG00000283683	"Hsap38.chr1.171605779.171606054.+"
ENSG00000147133	"Hsap38.chrX.71499401.71500426.-"
ENSG00000000460	"Hsap38.chr1.169665723.169666430.+"
ENSG00000281039	"Hsap38.chr7.30541408.30541845.+"
ENSG00000232046	"Hsap38.chr2.66628872.66630407.-"
ENSG00000203601	"Hsap38.chr1.168928460.168928762.+"
ENSG00000213064	"Hsap38.chr1.168248172.168249089.-"
ENSG00000231159	"Hsap38.chrY.21986360.21987055.-"
ENSG00000162636	"Hsap38.chr1.108577874.108578671.-"
ENSG00000138698	"Hsap38.chr4.98323552.98325714.+"
ENSG00000149308	"Hsap38.chr11.108201051.108201761.+"
ENSG00000271793	"Hsap38.chr6.85582659.85583387.+"
ENSG00000169621	"Hsap38.chr2.68615043.68616086.-"
ENSG00000163923	"Hsap38.chr3.187153604.187154086.+"
ENSG00000163923	"Hsap38.chr3.187154068.187154550.+"
ENSG00000152253	"Hsap38.chr2.168868977.168869699.+"
ENSG00000273247	"Hsap38.chr4.139428759.139430405.-"
ENSG00000171044	"Hsap38.chr8.10933634.10935316.-"
ENSG00000248863	"Hsap38.chr4.139428759.139430405.-"
ENSG00000171234	"Hsap38.chr4.69060943.69061467.+"
ENSG00000183023	"Hsap38.chr2.40233994.40235022.-"
ENSG00000117020	"Hsap38.chr1.243660325.243660936.+"
ENSG00000135317	"Hsap38.chr6.85582659.85583387.+"
ENSG00000185842	"Hsap38.chr1.225128140.225130176.+"
ENSG00000227028	"Hsap38.chr2.39808818.39810074.-"
ENSG00000283341	"Hsap38.chr11.43654410.43655762.-"
ENSG00000100599	"Hsap38.chr14.92622888.92624909.-"
ENSG00000149084	"Hsap38.chr11.43776620.43777825.-"
ENSG00000171365	"Hsap38.chrX.50062115.50064253.+"
ENSG00000250328	"Hsap38.chr5.122476054.122476434.-"
ENSG00000249916	"Hsap38.chr5.122378898.122380850.-"
ENSG00000228714	"Hsap38.chr9.115706167.115706958.-"
ENSG00000138115	"Hsap38.chr10.95060188.95060868.-"
ENSG00000173077	"Hsap38.chr9.115177047.115177454.-"
ENSG00000283217	"Hsap38.chr11.43654410.43655762.-"
ENSG00000174776	"Hsap38.chr3.167594581.167595150.+"
ENSG00000175175	"Hsap38.chr17.58847986.58848411.-"
ENSG00000188312	"Hsap38.chr9.92578947.92580818.-"
ENSG00000148655	"Hsap38.chr10.75516816.75518009.-"
ENSG00000226690	"Hsap38.chr7.12500851.12501453.+"
ENSG00000260266	"Hsap38.chr15.74355763.74356404.+"
